case_id,split,risk_level,audit_result,primary_anomaly_type,transition,issues,m2_issues,m3_issues
MV_MAIN_010706,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_005669,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_020502,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_019205,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_030149,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_034391,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_028005,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_009195,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_016441,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_027334,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_036059,test_clean,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_024815,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_000812,test_clean,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_010382,test_clean,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_035402,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_010410,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_028463,test_clean,medium,manual_review,amount_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_033400,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_002421,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_032333,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_026704,test_clean,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_001824,test_clean,high,missing_info,missing_document,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_032003,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_013241,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_024404,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_013351,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_019349,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_028195,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_001966,test_clean,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_009269,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031147,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_010320,test_clean,medium,manual_review,over_reimbursement,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_011382,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_037600,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_028363,test_clean,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_025113,test_clean,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_007193,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_012091,test_clean,high,missing_info,missing_document,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_001602,test_clean,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_019029,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_016902,test_clean,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_017387,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_017570,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_005810,test_clean,high,manual_review,unreadable_image,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_004388,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_006547,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_026984,test_clean,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_010446,test_clean,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_011409,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_013522,test_clean,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_036581,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_020022,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_006004,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_032205,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_039589,test_clean,medium,manual_review,unreadable_image,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_027099,test_clean,low,pass,none,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_004976,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_000466,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch|hallucination|unsupported_evidence|bbox_strict_error,,audit_mismatch|hallucination|unsupported_evidence|bbox_strict_error
MV_MAIN_016463,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_032986,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_017969,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_036962,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_022392,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_024613,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_010579,test_clean,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_018394,test_clean,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_023314,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_013880,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_025708,test_clean,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_036757,test_clean,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_024999,test_clean,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_018819,test_clean,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_035081,test_clean,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_017440,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_008158,test_clean,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_037926,test_clean,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_022944,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_008705,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_034972,test_robust,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_028682,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_039334,test_robust,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_018006,test_robust,high,manual_review,unreadable_image,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_025593,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_017306,test_robust,high,missing_info,missing_document,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_007413,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_009221,test_robust,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_021335,test_robust,high,missing_info,missing_document,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_023362,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_026782,test_robust,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_012306,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_012612,test_robust,high,manual_review,unreadable_image,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_020459,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_006872,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_016460,test_robust,high,manual_review,unreadable_image,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_017804,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_009250,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_038957,test_robust,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_002366,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_039606,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_011032,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_011258,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_025575,test_robust,medium,manual_review,over_reimbursement,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_024497,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_003822,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_038406,test_robust,low,pass,none,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_024686,test_robust,high,manual_review,unreadable_image,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_028718,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_035675,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_005970,test_robust,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_025969,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_033553,test_robust,high,manual_review,unreadable_image,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_015074,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_005961,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_017895,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_034629,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_014348,test_robust,medium,missing_info,missing_document,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_027913,test_robust,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,hallucination|unsupported_evidence|bbox_strict_error,hallucination|unsupported_evidence|bbox_strict_error,
MV_MAIN_012596,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031398,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_026996,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_000859,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031309,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_028157,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_013636,test_robust,high,missing_info,missing_document,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_010849,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_018273,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_011566,test_robust,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_039378,test_robust,medium,missing_info,missing_document,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_020217,test_robust,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_033471,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_038503,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_002569,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_019392,test_robust,medium,manual_review,over_reimbursement,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_011065,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_026731,test_robust,medium,manual_review,amount_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_024265,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
