split,issue,m2_count,m3_count,delta_m3_minus_m2
test_clean,audit_mismatch,44,79,35
test_clean,bbox_strict_error,89,93,4
test_clean,business_metrics_zeroed,84,96,12
test_clean,hallucination,0,1,1
test_clean,high_risk_miss,44,30,-14
test_clean,schema_invalid,84,96,12
test_clean,unsupported_evidence,44,32,-12
test_robust,audit_mismatch,34,76,42
test_robust,bbox_strict_error,81,61,-20
test_robust,business_metrics_zeroed,95,98,3
test_robust,hallucination,6,4,-2
test_robust,high_risk_miss,34,27,-7
test_robust,schema_invalid,95,98,3
test_robust,unsupported_evidence,39,32,-7
test_unseen_template,audit_mismatch,61,117,56
test_unseen_template,bbox_strict_error,108,119,11
test_unseen_template,business_metrics_zeroed,68,66,-2
test_unseen_template,hallucination,1,3,2
test_unseen_template,high_risk_miss,61,64,3
test_unseen_template,schema_invalid,68,66,-2
test_unseen_template,unsupported_evidence,62,68,6
test_hard_negative,audit_mismatch,67,131,64
test_hard_negative,bbox_strict_error,133,128,-5
test_hard_negative,hallucination,2,3,1
test_hard_negative,high_risk_miss,67,64,-3
test_hard_negative,unsupported_evidence,69,67,-2
