source,model_id,split,error_cases,high_risk_miss,reject_recommendation_errors,top_issues,top_anomaly_families,top_problem_classes
M2 sample500,m2_sft,test_clean,173,44,122,bbox_strict_error:89; schema_invalid:84; business_metrics_zeroed:84; high_risk_miss:44; audit_mismatch:44,date_mismatch:50; duplicate_in_batch:50; order_id_inconsistent:33; amount_abnormal:13; merchant_mismatch:8,schema_contract_failure:84; evidence_not_trustworthy:45; model_missed_high_risk:44
M3 sample500,m3_dpo,test_clean,227,30,171,schema_invalid:96; business_metrics_zeroed:96; bbox_strict_error:93; audit_mismatch:79; unsupported_evidence:32,amount_abnormal:54; date_mismatch:50; duplicate_in_batch:50; order_id_inconsistent:32; person_mismatch:13,schema_contract_failure:96; evidence_not_trustworthy:52; recognized_risk_but_decision_released:49; model_missed_high_risk:30
M3v2 sample500,m3v2_dpo,test_clean,186,41,129,bbox_strict_error:94; schema_invalid:92; business_metrics_zeroed:92; high_risk_miss:41; audit_mismatch:41,date_mismatch:50; duplicate_in_batch:50; order_id_inconsistent:34; amount_abnormal:15; person_mismatch:11,schema_contract_failure:92; evidence_not_trustworthy:53; model_missed_high_risk:41
M2 sample500,m2_sft,test_robust,176,34,123,schema_invalid:95; business_metrics_zeroed:95; bbox_strict_error:81; unsupported_evidence:39; high_risk_miss:34,duplicate_in_batch:50; date_mismatch:50; order_id_inconsistent:31; evidence_or_document_insufficient:12; person_mismatch:11,schema_contract_failure:95; evidence_not_trustworthy:47; model_missed_high_risk:34
M3 sample500,m3_dpo,test_robust,203,27,157,schema_invalid:98; business_metrics_zeroed:98; audit_mismatch:76; bbox_strict_error:61; unsupported_evidence:32,duplicate_in_batch:50; date_mismatch:50; amount_abnormal:49; order_id_inconsistent:30; person_mismatch:7,schema_contract_failure:98; recognized_risk_but_decision_released:49; evidence_not_trustworthy:29; model_missed_high_risk:27
M3v2 sample500,m3v2_dpo,test_robust,165,32,113,schema_invalid:98; business_metrics_zeroed:98; bbox_strict_error:67; unsupported_evidence:36; high_risk_miss:32,duplicate_in_batch:50; date_mismatch:50; order_id_inconsistent:30; amount_abnormal:9; person_mismatch:8,schema_contract_failure:98; evidence_not_trustworthy:35; model_missed_high_risk:32
M2 sample500,m2_sft,test_unseen_template,176,61,124,bbox_strict_error:108; schema_invalid:68; business_metrics_zeroed:68; unsupported_evidence:62; high_risk_miss:61,date_mismatch:50; duplicate_in_batch:49; order_id_inconsistent:33; amount_abnormal:13; evidence_or_document_insufficient:10,schema_contract_failure:68; model_missed_high_risk:61; evidence_not_trustworthy:47
M3 sample500,m3_dpo,test_unseen_template,231,64,173,bbox_strict_error:119; audit_mismatch:117; unsupported_evidence:68; schema_invalid:66; business_metrics_zeroed:66,amount_abnormal:60; date_mismatch:50; duplicate_in_batch:50; order_id_inconsistent:33; evidence_or_document_insufficient:12,schema_contract_failure:66; model_missed_high_risk:64; recognized_risk_but_decision_released:53; evidence_not_trustworthy:48
M3v2 sample500,m3v2_dpo,test_unseen_template,183,64,127,bbox_strict_error:113; schema_invalid:70; business_metrics_zeroed:70; unsupported_evidence:65; high_risk_miss:64,date_mismatch:50; duplicate_in_batch:50; order_id_inconsistent:35; evidence_or_document_insufficient:12; person_mismatch:10,schema_contract_failure:70; model_missed_high_risk:64; evidence_not_trustworthy:49
M2 sample500,m2_sft,test_hard_negative,133,67,123,bbox_strict_error:133; unsupported_evidence:69; high_risk_miss:67; audit_mismatch:67; hallucination:2,order_id_inconsistent:75; person_mismatch:20; amount_abnormal:19; merchant_mismatch:19,model_missed_high_risk:67; evidence_not_trustworthy:66
M3 sample500,m3_dpo,test_hard_negative,183,64,175,audit_mismatch:131; bbox_strict_error:128; unsupported_evidence:67; high_risk_miss:64; hallucination:3,order_id_inconsistent:74; amount_abnormal:74; merchant_mismatch:18; person_mismatch:17,recognized_risk_but_decision_released:67; model_missed_high_risk:64; evidence_not_trustworthy:52
M3v2 sample500,m3v2_dpo,test_hard_negative,131,74,122,bbox_strict_error:131; unsupported_evidence:76; high_risk_miss:74; audit_mismatch:74; hallucination:2,order_id_inconsistent:80; person_mismatch:20; amount_abnormal:18; merchant_mismatch:13,model_missed_high_risk:74; evidence_not_trustworthy:57
dpo_v2_baseline train_decode_dev,dpo_v2_baseline,train_decode_dev,44,5,28,bbox_strict_error:24; schema_invalid:20; business_metrics_zeroed:20; high_risk_miss:5; audit_mismatch:5,duplicate_in_batch:11; date_mismatch:9; person_mismatch:6; evidence_or_document_insufficient:5; clean_or_low_risk:5,schema_contract_failure:20; evidence_not_trustworthy:19; model_missed_high_risk:5
auxdpo_v2_strong train_decode_dev,auxdpo_v2_strong,train_decode_dev,42,5,27,bbox_strict_error:22; schema_invalid:20; business_metrics_zeroed:20; high_risk_miss:5; audit_mismatch:5,duplicate_in_batch:11; date_mismatch:9; evidence_or_document_insufficient:5; order_id_inconsistent:5; person_mismatch:5,schema_contract_failure:20; evidence_not_trustworthy:17; model_missed_high_risk:5
